john,Novice,12.5,john@gmail.com,07492827363
jane,Intermediate,14.5,jane@gmail.com,07492827362
jon,Expert,17.5,jon@gmail.com,07492827361
jo,Novice,12.5,jo@gmail.com,07492827360
robert,Intermediate,14.5,robert@gmail.com,07492827369
rob,Expert,17.5,rob@gmail.com,07492827368
joe,Novice,12.5,joe@gmail.com,07492827367
paul,Intermediate,14.5,paul@gmail.com,07492827366
paula,Expert,17.5,paula@gmail.com,07492827365
alice,Novice,12.5,alice@gmail.com,07492427364
bob,Intermediate,14.5,bob@gmail.com,07432827364
bobby,Expert,17.5,bobby@gmail.com,07492847364
lisa,Novice,12.5,lisa@gmail.com,07497827364
luke,Intermediate,14.5,luke@gmail.com,07492824364
lukas,Expert,17.5,lukas@gmail.com,07492827564
j,Novice,12.5,j@gmail.com,07492827464
don,Expert,17.5,don@gmail.com,07492827464
Eve,Novice,12.5,eve@gmail.com,07123456789
